;ano;produto;cod_ibge;municipio;area_plantada_destinada;percentual_utilizado;quant_produzida_t
0;2020;Abacate;4100509;Altônia (PR);50;0.39;1000.0
1;2020;Abacate;4101002;Ampére (PR);1;0.01;20.0
2;2020;Abacate;4101408;Apucarana (PR);193;0.47;4825.0
3;2020;Abacate;4102000;Assis Chateaubriand (PR);2;0.0;40.0
4;2020;Abacate;4102752;Bela Vista da Caroba (PR);1;0.01;24.0
5;2020;Abacate;4103479;Cafezal do Sul (PR);2;0.01;60.0
6;2020;Abacate;4103503;Califórnia (PR);54;0.37;1377.0
7;2020;Abacate;4104600;Capitão Leônidas Marques (PR);3;0.02;53.0
8;2020;Abacate;4104808;Cascavel (PR);3;0.0;51.0
9;2020;Abacate;4105300;Céu Azul (PR);1;0.0;17.0
10;2020;Abacate;4105508;Cianorte (PR);1;0.0;15.0
11;2020;Abacate;4106571;Cruzeiro do Iguaçu (PR);1;0.01;28.0
12;2020;Abacate;4107157;Diamante D'Oeste (PR);2;0.03;36.0
13;2020;Abacate;4108304;Foz do Iguaçu (PR);3;0.01;36.0
14;2020;Abacate;4108403;Francisco Beltrão (PR);3;0.01;60.0
15;2020;Abacate;4109807;Ibiporã (PR);4;0.01;60.0
16;2020;Abacate;4110953;Itaipulândia (PR);1;0.01;20.0
17;2020;Abacate;4112504;Jardim Alegre (PR);10;0.05;200.0
18;2020;Abacate;4113700;Londrina (PR);20;0.02;380.0
19;2020;Abacate;4114609;Marechal Cândido Rondon (PR);4;0.01;120.0
20;2020;Abacate;4114807;Marialva (PR);5;0.01;100.0
21;2020;Abacate;4115200;Maringá (PR);2;0.0;20.0
22;2020;Abacate;4115804;Medianeira (PR);2;0.01;48.0
23;2020;Abacate;4116950;Nova Esperança do Sudoeste (PR);1;0.03;27.0
24;2020;Abacate;4117255;Nova Prata do Iguaçu (PR);2;0.01;50.0
25;2020;Abacate;4117909;Palotina (PR);2;0.0;48.0
26;2020;Abacate;4118402;Paranavaí (PR);1;0.0;26.0
27;2020;Abacate;4119004;Pérola d'Oeste (PR);2;0.01;40.0
28;2020;Abacate;4119251;Pinhal de São Bento (PR);1;0.03;25.0
29;2020;Abacate;4120358;Pranchita (PR);1;0.0;25.0
30;2020;Abacate;4121406;Realeza (PR);1;0.0;25.0
31;2020;Abacate;4123808;Santa Izabel do Oeste (PR);1;0.0;25.0
32;2020;Abacate;4125209;São Jorge d'Oeste (PR);1;0.0;25.0
33;2020;Abacate;4125704;São Miguel do Iguaçu (PR);2;0.0;36.0
34;2020;Abacate;4125753;São Pedro do Iguaçu (PR);1;0.0;30.0
35;2020;Abacate;4127403;Terra Roxa (PR);2;0.0;45.0
36;2020;Abacate;4128005;Ubiratã (PR);5;0.0;100.0
37;2020;Abacate;4128104;Umuarama (PR);7;0.03;175.0
38;2020;Abacate;4128559;Vera Cruz do Oeste (PR);3;0.01;48.0
39;2020;Abacaxi*;4101002;Ampére (PR);1;0.01;19.0
40;2020;Abacaxi*;4102000;Assis Chateaubriand (PR);2;0.0;25.0
