data;consumo_eletrico_quantGWh
01/01/1976;5660,6
01/02/1976;5529,5
01/03/1976;5685,3
01/04/1976;5717,4
01/05/1976;5854,3
01/06/1976;5848,7
01/07/1976;6037,3
01/08/1976;6115,1
01/09/1976;6264
01/10/1976;6274,7
01/11/1976;6352,2
01/12/1976;6295,8
01/01/1977;6338,6
01/02/1977;6317,8
01/03/1977;6279,2
01/04/1977;6617,5
01/05/1977;6628,7
01/06/1977;6608,2
01/07/1977;6677,3
01/08/1977;6795,8
01/09/1977;7092,7
01/10/1977;7092,7
01/11/1977;7165,5
01/12/1977;7190,7
01/01/1978;7056,3
01/02/1978;7260,7
01/03/1978;7120,5
01/04/1978;7318,3
01/05/1978;7294,8
01/06/1978;7444,5
01/07/1978;7386,7
01/08/1978;7627,7
01/09/1978;7856,6
01/10/1978;7803,4
01/11/1978;7997,3
01/12/1978;7903,7
01/01/1979;7947
01/02/1979;7859
01/03/1979;8108
01/04/1979;8138
01/05/1979;8355
01/06/1979;8379
01/07/1979;8455
01/08/1979;8496
01/09/1979;8805
01/10/1979;8682
01/11/1979;8963
01/12/1979;8959
01/01/1980;9003
01/02/1980;8891
01/03/1980;8956
01/04/1980;9066
01/05/1980;9251
01/06/1980;9298
01/07/1980;9234
01/08/1980;9679
01/09/1980;9614
01/10/1980;9608
01/11/1980;9954
01/12/1980;9501
01/01/1981;10102
01/02/1981;9468
01/03/1981;9804
01/04/1981;9405
01/05/1981;9656
01/06/1981;9360
01/07/1981;9470
01/08/1981;9752
01/09/1981;9486
01/10/1981;9589
01/11/1981;9781
01/12/1981;9529
01/01/1982;9885
01/02/1982;9393
01/03/1982;9712
01/04/1982;10447
01/05/1982;9999
01/06/1982;10193
01/07/1982;10325
01/08/1982;10541
01/09/1982;10698
01/10/1982;10515
01/11/1982;10644
01/12/1982;10453
01/01/1983;10630
01/02/1983;10253
01/03/1983;10360
01/04/1983;11266
01/05/1983;10788
01/06/1983;11411
01/07/1983;10945
01/08/1983;11077
01/09/1983;11608
01/10/1983;11402
01/11/1983;11366
01/12/1983;11332
01/01/1984;11642
01/02/1984;11968
01/03/1984;12207
01/04/1984;11626
01/05/1984;12031
01/06/1984;12277
01/07/1984;12210
01/08/1984;12698
01/09/1984;12953
01/10/1984;12520
01/11/1984;13420
01/12/1984;12845
01/01/1985;13204
01/02/1985;13114
01/03/1985;13079
01/04/1985;13651
01/05/1985;13224
01/06/1985;13528
01/07/1985;12965
01/08/1985;13969
01/09/1985;13918
