data;inadimplencia
01/06/2012;3,47
01/07/2012;3,51
01/08/2012;3,50
01/09/2012;3,39
01/10/2012;3,42
01/11/2012;3,34
01/12/2012;3,27
01/01/2013;3,30
01/02/2013;3,32
01/03/2013;3,23
01/04/2013;3,22
01/05/2013;3,20
01/06/2013;3,02
01/07/2013;3,00
01/08/2013;2,91
01/09/2013;2,89
01/10/2013;2,87
01/11/2013;2,83
01/12/2013;2,68
01/01/2014;2,69
01/02/2014;2,70
01/03/2014;2,70
01/04/2014;2,72
01/05/2014;2,80
01/06/2014;2,74
01/07/2014;2,77
01/08/2014;2,84
01/09/2014;2,74
01/10/2014;2,77
01/11/2014;2,70
01/12/2014;2,56
01/01/2015;2,66
01/02/2015;2,73
01/03/2015;2,70
01/04/2015;2,79
01/05/2015;2,86
01/06/2015;2,75
01/07/2015;2,85
01/08/2015;2,98
01/09/2015;2,97
01/10/2015;3,06
01/11/2015;3,18
01/12/2015;3,12
01/01/2016;3,22
01/02/2016;3,33
01/03/2016;3,32
01/04/2016;3,51
01/05/2016;3,55
01/06/2016;3,40
01/07/2016;3,47
01/08/2016;3,55
01/09/2016;3,57
01/10/2016;3,73
01/11/2016;3,60
01/12/2016;3,50
01/01/2017;3,52
01/02/2017;3,64
01/03/2017;3,76
01/04/2017;3,84
01/05/2017;3,97
01/06/2017;3,56
01/07/2017;3,56
01/08/2017;3,55
01/09/2017;3,46
01/10/2017;3,52
01/11/2017;3,47
01/12/2017;3,20
01/01/2018;3,39
01/02/2018;3,40
01/03/2018;3,29
01/04/2018;3,26
01/05/2018;3,28
01/06/2018;3,02
01/07/2018;2,98
01/08/2018;2,98
01/09/2018;2,99
01/10/2018;2,97
01/11/2018;2,89
01/12/2018;2,77
01/01/2019;2,86
01/02/2019;2,81
01/03/2019;2,86
01/04/2019;2,88
01/05/2019;2,92
01/06/2019;2,86
01/07/2019;2,96
01/08/2019;2,98
01/09/2019;2,97
01/10/2019;2,94
01/11/2019;2,91
01/12/2019;2,83
01/01/2020;2,95
01/02/2020;2,97
01/03/2020;3,17
01/04/2020;3,25
01/05/2020;3,20
01/06/2020;2,83
01/07/2020;2,67
01/08/2020;2,55
01/09/2020;2,29
01/10/2020;2,21
01/11/2020;2,11
01/12/2020;2,01
01/01/2021;2,06
01/02/2021;2,16
01/03/2021;2,08
01/04/2021;2,14
01/05/2021;2,27
01/06/2021;2,20
01/07/2021;2,26
01/08/2021;2,20
01/09/2021;2,21
01/10/2021;2,23
01/11/2021;2,27
01/12/2021;2,25
01/01/2022;2,41
01/02/2022;2,49
01/03/2022;2,51
01/04/2022;2,58
01/05/2022;2,65
01/06/2022;2,56
01/07/2022;2,70
01/08/2022;2,76
01/09/2022;2,78
01/10/2022;2,90
01/11/2022;2,92
01/12/2022;2,94
01/01/2023;3,12
01/02/2023;3,26
01/03/2023;3,23
01/04/2023;3,43
01/05/2023;3,55
01/06/2023;3,46
01/07/2023;3,53
01/08/2023;3,51
01/09/2023;3,43
01/10/2023;3,43
01/11/2023;3,31
01/12/2023;3,15
01/01/2024;3,23
01/02/2024;3,23
01/03/2024;3,19
01/04/2024;3,21
01/05/2024;3,27
01/06/2024;3,17
01/07/2024;3,20
01/08/2024;3,22
01/09/2024;3,21
01/10/2024;3,17
01/11/2024;3,13
01/12/2024;3,05
01/01/2025;3,35
01/02/2025;3,47
01/03/2025;3,47
01/04/2025;3,71
01/05/2025;3,79
01/06/2025;3,83
