data;intencao_consumo_familia
01/01/2013;135,0537327
01/02/2013;135,5735579
01/03/2013;132,2338263
01/04/2013;130,5960459
01/05/2013;127,7014672
01/06/2013;130,1262177
01/07/2013;124,9400421
01/08/2013;123,3742754
01/09/2013;126,1852148
01/10/2013;126,3480954
01/11/2013;128,4372566
01/12/2013;129,535621
01/01/2014;130,9694029
01/02/2014;129,8373479
01/03/2014;125,5349074
01/04/2014;125,2113546
01/05/2014;122,3640941
01/06/2014;120,44191
01/07/2014;120,5762891
01/08/2014;120,8074449
01/09/2014;121,9363376
01/10/2014;121,4964933
01/11/2014;120,5811845
01/12/2014;119,5227933
01/01/2015;119,727902
01/02/2015;117,7640009
01/03/2015;110,5618576
01/04/2015;102,8955338
01/05/2015;96,38615253
01/06/2015;91,73964675
01/07/2015;86,90389847
01/08/2015;81,81030928
01/09/2015;79,81122619
01/10/2015;78,39972142
01/11/2015;76,43189646
01/12/2015;76,47767123
01/01/2016;77,49279221
01/02/2016;78,71773621
01/03/2016;77,48860392
01/04/2016;73,24517701
01/05/2016;69,88042076
01/06/2016;68,67550408
01/07/2016;68,69262794
01/08/2016;69,32612952
01/09/2016;72,14749084
01/10/2016;73,90676605
01/11/2016;74,30760206
01/12/2016;76,21132871
01/01/2017;76,20123731
01/02/2017;77,08388279
01/03/2017;78,15459715
01/04/2017;77,78977985
01/05/2017;77,65521339
01/06/2017;77,10348219
01/07/2017;77,27481108
01/08/2017;77,29965257
01/09/2017;76,77669991
01/10/2017;77,86270352
01/11/2017;80,18776415
01/12/2017;81,6988759
01/01/2018;83,59233599
01/02/2018;87,11441127
01/03/2018;88,03453783
01/04/2018;86,90670004
01/05/2018;87,07019665
01/06/2018;86,67486887
01/07/2018;85,12239742
01/08/2018;85,60841865
01/09/2018;86,93249922
01/10/2018;86,65038734
01/11/2018;87,58049126
01/12/2018;91,23876054
01/01/2019;95,88543739
01/02/2019;98,50628946
01/03/2019;98,07009808
01/04/2019;96,21552317
01/05/2019;94,59958038
01/06/2019;91,28210386
01/07/2019;89,77358524
01/08/2019;91,41465321
01/09/2019;92,49159385
01/10/2019;93,32758901
01/11/2019;95,21329039
01/12/2019;96,32061548
01/01/2020;97,06548323
01/02/2020;99,26752896
01/03/2020;99,88829465
01/04/2020;95,64691884
01/05/2020;81,66259543
01/06/2020;69,28010043
01/07/2020;66,10900802
01/08/2020;66,1538992
01/09/2020;67,62935922
01/10/2020;68,69304116
01/11/2020;69,82651287
01/12/2020;72,12626753
01/01/2021;73,55558244
01/02/2021;74,16789193
01/03/2021;73,78845099
01/04/2021;70,67087608
01/05/2021;67,50483506
01/06/2021;67,49451576
01/07/2021;68,42469095
01/08/2021;70,1978642
01/09/2021;72,47502622
01/10/2021;73,21457054
01/11/2021;73,36949589
01/12/2021;74,44375302
01/01/2022;76,2397825
01/02/2022;77,55959393
01/03/2022;78,13816273
01/04/2022;78,54884409
01/05/2022;79,46076055
01/06/2022;80,17128577
01/07/2022;80,74587005
01/08/2022;82,12816779
01/09/2022;84,44023623
01/10/2022;87,02121712
01/11/2022;88,9792052
01/12/2022;91,26845212
01/01/2023;93,87300752
01/02/2023;95,66592001
01/03/2023;96,67556945
01/04/2023;97,13372835
01/05/2023;96,71003078
01/06/2023;97,25378018
01/07/2023;99,29829399
01/08/2023;101,0616715
01/09/2023;102,5935166
01/10/2023;104,161571
01/11/2023;104,8925281
01/12/2023;105,2083184
01/01/2024;105,8685
01/02/2024;105,6535262
01/03/2024;104,1148773
01/04/2024;103,0577384
01/05/2024;102,9409022
01/06/2024;102,178233
01/07/2024;101,5389843
01/08/2024;102,2310983
01/09/2024;103,0845406
01/10/2024;103,2304929
01/11/2024;103,1977085
01/12/2024;103,8744809
01/01/2025;104,9430463
01/02/2025;104,5089581
01/03/2025;102,6791318
01/04/2025;101,3612101
01/05/2025;100,8111737
01/06/2025;100,8461426
01/07/2025;101,3948383
01/08/2025;101,5697672
01/09/2025;101,1394317
