data;geral_ipca;ipca_artigos_residencia
01/01/2020;0,15;-0,07
01/02/2020;0,26;-0,08
01/03/2020;0,01;-1,08
01/04/2020;-0,35;-1,37
01/05/2020;-0,36;0,58
01/06/2020;0,31;1,3
01/07/2020;0,44;0,9
01/08/2020;0,32;0,56
01/09/2020;0,69;1
01/10/2020;0,85;1,53
01/11/2020;0,84;0,86
01/12/2020;1,27;1,76
01/01/2021;0,18;0,86
01/02/2021;0,88;0,66
01/03/2021;0,89;0,69
01/04/2021;0,3;0,57
01/05/2021;0,88;1,25
01/06/2021;0,59;1,09
01/07/2021;1,02;0,78
01/08/2021;0,94;0,99
01/09/2021;1,18;0,9
01/10/2021;1,22;1,27
01/11/2021;0,87;1,04
01/12/2021;0,64;1,37
01/01/2022;0,47;1,82
01/02/2022;1,02;1,76
01/03/2022;1,54;0,57
01/04/2022;1,03;1,53
01/05/2022;0,52;0,66
01/06/2022;0,73;0,55
01/07/2022;-0,61;0,12
01/08/2022;-0,3;0,42
01/09/2022;-0,23;-0,13
01/10/2022;0,59;0,39
01/11/2022;0,36;-0,68
01/12/2022;0,53;0,64
01/01/2023;0,44;0,7
01/02/2023;0,85;0,11
01/03/2023;0,64;-0,27
01/04/2023;0,58;0,17
01/05/2023;0,28;-0,23
01/06/2023;-0,02;-0,42
01/07/2023;0,19;0,04
01/08/2023;0,3;-0,04
01/09/2023;0,31;-0,58
01/10/2023;0,23;0,46
01/11/2023;0,23;-0,42
01/12/2023;0,49;0,76
01/01/2024;0,32;0,22
01/02/2024;0,82;-0,07
01/03/2024;0,1;-0,04
01/04/2024;0,33;-0,26
01/05/2024;0,49;-0,53
01/06/2024;0,28;0,19
01/07/2024;0,5;0,49
01/08/2024;0,08;0,74
01/09/2024;0,5;-0,19
01/10/2024;0,54;0,43
01/11/2024;0,33;-0,31
01/12/2024;0,44;0,66
01/01/2025;0,06;-0,09
01/02/2025;1,32;0,44
01/03/2025;0,51;0,13
01/04/2025;0,41;0,53
01/05/2025;0,32;-0,27
01/06/2025;0,31;0,08
01/07/2025;0,35;0,09
01/08/2025;-0,04;-0,09
01/09/2025;0,52;-0,4
