data;rendimento_real_medio;renda_nacional_disponivel_mi;paridade_compra_salario
01/03/2012;3213;525.510;369,594305
01/04/2012;3030;525.825;368,3525175
01/05/2012;3026;527.069;365,908124
01/06/2012;3033;536.586;364,4254554
01/07/2012;3046;551.364;362,2734393
01/08/2012;3059;560.282;362,657985
01/09/2012;3058;562.386;361,9948395
01/10/2012;3060;560.079;359,303886
01/11/2012;3056;562.723;355,6805111
01/12/2012;3081;570.354;352,1169344
01/01/2013;3234;567.211;381,4444215
01/02/2013;3249;559.459;382,5786556
01/03/2013;3231;551.105;381,2914153
01/04/2013;3089;551.798;378,6608134
01/05/2013;3093;559.147;378,0117501
01/06/2013;3121;570.383;377,8604464
01/07/2013;3145;583.664;378,5014592
01/08/2013;3162;590.278;378,3516543
01/09/2013;3162;594.646;377,7712182
01/10/2013;3174;593.959;374,5138926
01/11/2013;3168;599.408;371,7418646
01/12/2013;3174;604.995;369,0522804
01/01/2014;3285;604.045;393,0816262
01/02/2014;3314;596.080;392,0259634
01/03/2014;3329;581.491;391,3414253
01/04/2014;3213;576.993;389,5930775
01/05/2014;3207;575.511;388,622329
01/06/2014;3186;580.954;388,3358651
01/07/2014;3172;593.010;387,6804829
01/08/2014;3191;603.986;386,337072
01/09/2014;3196;612.200;384,7431609
01/10/2014;3211;612.767;382,3238437
01/11/2014;3190;617.071;378,2545842
01/12/2014;3216;622.362;373,7923286
01/01/2015;3338;608.926;399,0154326
01/02/2015;3337;592.423;396,1521313
01/03/2015;3312;573.641;392,5826565
01/04/2015;3188;564.929;390,6076778
01/05/2015;3168;564.437;388,7495059
01/06/2015;3181;566.738;387,1310677
01/07/2015;3161;573.814;384,9241426
01/08/2015;3140;575.474;383,4202552
01/09/2015;3130;572.006;380,8809076
01/10/2015;3123;576.937;377,8006627
01/11/2015;3120;597.208;372,864285
01/12/2015;3224;626.189;368,2756588
01/01/2016;3530;610.952;405,8242234
01/02/2016;3527;590.043;402,3364469
01/03/2016;3435;556.373;402,2981168
01/04/2016;3127;552.941;401,6355364
01/05/2016;3119;546.085;399,3467488
01/06/2016;3087;550.104;398,78407
01/07/2016;3094;560.605;395,6068291
01/08/2016;3122;564.852;394,7463762
01/09/2016;3112;565.724;395,3794028
01/10/2016;3104;566.437;395,2002991
01/11/2016;3101;584.483;394,3096672
01/12/2016;3222;611.913;393,8870851
01/01/2017;3521;607.237;420,0801481
01/02/2017;3552;590.015;420,39263
01/03/2017;3475;562.034;419,3918494
01/04/2017;3175;565.070;420,2994557
01/05/2017;3150;570.586;419,1494261
01/06/2017;3128;579.263;420,7916812
01/07/2017;3140;586.525;419,7880395
01/08/2017;3149;586.339;421,1713053
01/09/2017;3163;584.546;423,4860092
01/10/2017;3161;585.436;421,6580846
01/11/2017;3162;603.373;420,9104878
01/12/2017;3270;632.850;419,5719744
01/01/2018;3572;628.320;428,5257456
01/02/2018;3602;606.490;429,6953669
01/03/2018;3498;573.586;430,3660913
01/04/2018;3218;566.931;431,171464
01/05/2018;3207;564.932;431,1112772
01/06/2018;3203;571.418;425,7111388
01/07/2018;3203;587.144;424,6782759
01/08/2018;3222;598.325;424,9142027
01/09/2018;3206;599.733;424,1352667
01/10/2018;3195;597.433;423,1921831
01/11/2018;3184;608.397;422,8314712
01/12/2018;3310;633.655;420,8919009
01/01/2019;3635;628.297;439,5609907
01/02/2019;3664;608.529;439,0480318
01/03/2019;3547;577.620;438,1507735
01/04/2019;3228;570.669;437,8438811
01/05/2019;3190;571.113;438,1190309
01/06/2019;3194;568.859;438,1628213
01/07/2019;3196;593.874;438,4568379
01/08/2019;3224;601.501;437,9090674
01/09/2019;3211;621.496;438,4715555
01/10/2019;3220;623.047;439,2983672
01/11/2019;3227;639.713;436,7044491
01/12/2019;3345;673.173;431,0480922
01/01/2020;3654;661.449;449,6436172
01/02/2020;3669;640.347;452,7102147
01/03/2020;3570;584.624;450,9128615
01/04/2020;3276;585.635;448,9299728
01/05/2020;3198;607.415;450,0641514
01/06/2020;3146;644.744;451,1733333
01/07/2020;3149;673.656;451,4686365
01/08/2020;3198;677.595;451,2673644
01/09/2020;3265;665.027;447,997907
01/10/2020;3253;642.610;444,2305416
01/11/2020;3258;629.327;439,7815023
01/12/2020;3307;647.142;433,8615282
01/01/2021;3555;634.757;457,4037337
01/02/2021;3544;625.391;456,1671885
01/03/2021;3476;593.386;455,4813257
01/04/2021;3216;601.023;457,4861158
01/05/2021;3208;603.937;456,7691888
01/06/2021;3174;626.102;458,2632224
01/07/2021;3153;646.544;455,8185696
01/08/2021;3119;645.345;452,7754977
01/09/2021;3061;622.495;448,6220587
01/10/2021;3011;601.761;447,1619189
01/11/2021;2969;603.967;445,6159728
01/12/2021;3023;631.886;443,7456779
01/01/2022;3292;625.307;489,7601589
01/02/2022;3305;624.298;489,3402159
01/03/2022;3257;606.658;487,5365624
01/04/2022;3010;616.654;485,2118045
01/05/2022;3020;634.987;488,3626953
01/06/2022;3043;648.648;492,0201273
01/07/2022;3078;666.589;494,9319604
01/08/2022;3109;668.420;496,2949372
01/09/2022;3135;664.175;498,9589957
01/10/2022;3153;658.982;498,6393035
01/11/2022;3179;666.673;496,2501328
01/12/2022;3301;696.627;491,3360349
01/01/2023;3563;690.069;529,6051891
01/02/2023;3578;677.034;528,492496
01/03/2023;3484;652.232;526,8701275
01/04/2023;3246;658.775;526,7439409
01/05/2023;3219;665.196;533,4503483
01/06/2023;3218;683.829;535,7082687
01/07/2023;3224;711.344;537,2138095
01/08/2023;3251;719.913;538,4829662
01/09/2023;3283;705.090;539,228276
01/10/2023;3276;688.201;538,3756375
01/11/2023;3287;698.746;536,7539652
01/12/2023;3386;747.088;533,287856
01/01/2024;3706;742.234;570,3133464
01/02/2024;3740;728.107;569,2329761
01/03/2024;3629;692.499;571,8258789
01/04/2024;3390;707.553;571,9358716
01/05/2024;3395;720.235;570,2627357
01/06/2024;3411;732.517;569,0324596
01/07/2024;3389;749.893;568,2159142
01/08/2024;3418;747.975;569,4753729
01/09/2024;3418;738.289;567,6639745
01/10/2024;3423;726.729;564,8719227
01/11/2024;3429;738.265;562,7090902
01/12/2024;3547;767.398;560,2195964
01/01/2025;3824;762.015;606,2183335
01/02/2025;3864;748.962;600,0303592
01/03/2025;3772;719.818;598,2898122
01/04/2025;3502;732.141;597,3237917
01/05/2025;3487;743.920;596,4833673
01/06/2025;3510;763.821;597,1432272
01/07/2025;3518;789.165;596,7917645
01/08/2025;3524;779.376;599,7659495
