data;paridade_compra_salario
01/01/2002;157,8558715
01/02/2002;157,9904063
01/03/2002;157,9003632
01/04/2002;175,2340848
01/05/2002;175,0766777
01/06/2002;174,1116495
01/07/2002;172,323325
01/08/2002;171,4228219
01/09/2002;170,2938307
01/10/2002;167,9394582
01/11/2002;162,4333542
01/12/2002;157,8138902
01/01/2003;154,6908765
01/02/2003;153,6394116
01/03/2003;152,473581
01/04/2003;180,0859282
01/05/2003;178,0297127
01/06/2003;178,3307843
01/07/2003;178,4532283
01/08/2003;178,8104667
01/09/2003;177,9326259
01/10/2003;177,0502739
01/11/2003;175,9207911
01/12/2003;174,7862553
01/01/2004;174,1939602
01/02/2004;174,4538156
01/03/2004;174,5833194
01/04/2004;174,4275021
01/05/2004;189,3113351
01/06/2004;188,9675294
01/07/2004;187,3016085
01/08/2004;186,4682561
01/09/2004;186,5450763
01/10/2004;187,2092681
01/11/2004;186,4864479
01/12/2004;184,2184996
01/01/2005;183,5596566
01/02/2005;183,8094497
01/03/2005;183,9045463
01/04/2005;183,4717285
01/05/2005;210,0106788
01/06/2005;210,3502539
01/07/2005;211,2604076
01/08/2005;212,3415765
01/09/2005;214,6146702
01/10/2005;213,8067244
01/11/2005;210,9506994
01/12/2005;209,2593019
01/01/2006;210,056096
01/02/2006;209,9965418
01/03/2006;210,5905155
01/04/2006;247,4822687
01/05/2006;248,3878857
01/06/2006;249,0529058
01/07/2006;249,5152088
01/08/2006;250,0553859
01/09/2006;248,4317907
01/10/2006;246,0269385
01/11/2006;244,6341439
01/12/2006;243,4889364
01/01/2007;243,0412493
01/02/2007;243,3200564
01/03/2007;244,4598157
01/04/2007;266,4451249
01/05/2007;267,3781336
01/06/2007;267,0685914
01/07/2007;266,1489363
01/08/2007;264,1028962
01/09/2007;264,1703736
01/10/2007;263,9437782
01/11/2007;264,3744975
01/12/2007;261,6592089
01/01/2008;261,1577063
01/02/2008;260,6653043
01/03/2008;285,6842452
01/04/2008;285,5894734
01/05/2008;285,255966
01/06/2008;285,5321888
01/07/2008;285,3759641
01/08/2008;283,6415175
01/09/2008;282,8254092
01/10/2008;278,5758908
01/11/2008;272,2059791
01/12/2008;268,6119818
01/01/2009;268,0655373
01/02/2009;300,9235973
01/03/2009;301,0529471
01/04/2009;300,1538316
01/05/2009;299,2251527
01/06/2009;300,5337588
01/07/2009;299,3687802
01/08/2009;299,8004934
01/09/2009;299,5084336
01/10/2009;299,0792142
01/11/2009;298,1877056
01/12/2009;296,9494933
01/01/2010;323,9486092
01/02/2010;321,7772408
01/03/2010;320,8208309
01/04/2010;319,04935
01/05/2010;317,9291853
01/06/2010;317,9689231
01/07/2010;318,2586493
01/08/2010;318,9212983
01/09/2010;317,3927298
01/10/2010;314,8908364
01/11/2010;311,8116439
01/12/2010;310,4844288
01/01/2011;327,2379804
01/02/2011;327,0849899
01/03/2011;331,1467968
01/04/2011;330,8963054
01/05/2011;330,5687216
01/06/2011;329,4895601
01/07/2011;329,7815029
01/08/2011;329,3081713
01/09/2011;328,3301873
01/10/2011;326,6077289
01/11/2011;324,4832756
01/12/2011;322,0405857
01/01/2012;367,2841182
01/02/2012;367,4684293
01/03/2012;369,594305
01/04/2012;368,3525175
01/05/2012;365,908124
01/06/2012;364,4254554
01/07/2012;362,2734393
01/08/2012;362,657985
01/09/2012;361,9948395
01/10/2012;359,303886
01/11/2012;355,6805111
01/12/2012;352,1169344
01/01/2013;381,4444215
01/02/2013;382,5786556
01/03/2013;381,2914153
01/04/2013;378,6608134
01/05/2013;378,0117501
01/06/2013;377,8604464
01/07/2013;378,5014592
01/08/2013;378,3516543
01/09/2013;377,7712182
01/10/2013;374,5138926
