data;contrucao_imobiliaria
30/04/2014;19,26
31/05/2014;19,59
30/06/2014;19,93
31/07/2014;20,32
31/08/2014;20,7
30/09/2014;21,08
31/10/2014;21,55
30/11/2014;21,98
31/12/2014;22,43
31/01/2015;22,81
28/02/2015;23,16
31/03/2015;23,6
30/04/2015;24
31/05/2015;24,41
30/06/2015;24,82
31/07/2015;25,25
31/08/2015;25,65
30/09/2015;26,08
31/10/2015;26,42
30/11/2015;26,8
31/12/2015;27,21
31/01/2016;27,47
29/02/2016;27,73
31/03/2016;28,02
30/04/2016;28,34
31/05/2016;28,59
30/06/2016;28,88
31/07/2016;29,17
31/08/2016;29,47
30/09/2016;29,71
31/10/2016;29,97
30/11/2016;30,02
31/12/2016;30,48
31/01/2017;30,61
28/02/2017;30,93
31/03/2017;31,36
30/04/2017;31,58
31/05/2017;31,85
30/06/2017;32,11
31/07/2017;32,41
31/08/2017;32,72
30/09/2017;32,91
31/10/2017;33,11
30/11/2017;33,43
31/12/2017;33,65
31/01/2018;33,71
28/02/2018;34,11
31/03/2018;34,38
30/04/2018;34,65
31/05/2018;34,91
30/06/2018;35,19
31/07/2018;35,46
31/08/2018;35,77
30/09/2018;36
31/10/2018;36,34
30/11/2018;36,62
31/12/2018;36,88
31/01/2019;43,93
28/02/2019;44,2
31/03/2019;44,45
30/04/2019;44,74
31/05/2019;45
30/06/2019;45,35
31/07/2019;45,81
31/08/2019;46,8
30/09/2019;46,95
31/10/2019;47,3
30/11/2019;47,69
31/12/2019;47,9
31/01/2020;47,92
29/02/2020;48,22
31/03/2020;48,33
30/04/2020;48,88
31/05/2020;49,45
30/06/2020;50,07
31/07/2020;50,65
31/08/2020;51,06
30/09/2020;51,52
31/10/2020;52,02
30/11/2020;52,62
31/12/2020;53,34
31/01/2021;53,74
28/02/2021;54,25
31/03/2021;54,95
30/04/2021;55,6
31/05/2021;56,37
30/06/2021;57,11
31/07/2021;58,04
31/08/2021;59
30/09/2021;60,06
31/10/2021;61,09
30/11/2021;62,04
31/12/2021;63,22
31/01/2022;64,77
28/02/2022;65,83
31/03/2022;66,97
30/04/2022;68,02
31/05/2022;69,3
30/06/2022;70,68
31/07/2022;72,13
31/08/2022;73,62
30/09/2022;75,91
31/10/2022;76,31
30/11/2022;77,66
31/12/2022;78,96
31/01/2023;80
28/02/2023;80,95
31/03/2023;82,18
30/04/2023;83,2
31/05/2023;84,71
30/06/2023;85,33
31/07/2023;86,38
31/08/2023;87,47
30/09/2023;88,49
31/10/2023;89,44
30/11/2023;90,28
31/12/2023;91,15
31/01/2024;92,02
29/02/2024;92,8
31/03/2024;93,68
30/04/2024;94,53
31/05/2024;95,45
30/06/2024;96,33
31/07/2024;97,29
31/08/2024;98,42
30/09/2024;99,54
31/10/2024;100,75
30/11/2024;101,76
31/12/2024;101,2
31/01/2025;103,61
28/02/2025;104,58
31/03/2025;105,58
30/04/2025;106,6
31/05/2025;107,64
30/06/2025;108,75
31/07/2025;109,83
