"Ano Mes.Ano Mes";MILHO/EM GRÃOS/AL/Preco Medio Comercializado;MILHO/EM GRÃOS/AP/Preco Medio Comercializado;MILHO/EM GRÃOS/BA/Preco Medio Comercializado;MILHO/EM GRÃOS/CE/Preco Medio Comercializado;MILHO/EM GRÃOS/DF/Preco Medio Comercializado;MILHO/EM GRÃOS/ES/Preco Medio Comercializado;MILHO/EM GRÃOS/GO/Preco Medio Comercializado;MILHO/EM GRÃOS/MA/Preco Medio Comercializado;MILHO/EM GRÃOS/MG/Preco Medio Comercializado;MILHO/EM GRÃOS/MS/Preco Medio Comercializado;MILHO/EM GRÃOS/MT/Preco Medio Comercializado;MILHO/EM GRÃOS/PA/Preco Medio Comercializado;MILHO/EM GRÃOS/PB/Preco Medio Comercializado;MILHO/EM GRÃOS/PE/Preco Medio Comercializado;MILHO/EM GRÃOS/PI/Preco Medio Comercializado;MILHO/EM GRÃOS/PR/Preco Medio Comercializado;MILHO/EM GRÃOS/RN/Preco Medio Comercializado;MILHO/EM GRÃOS/RO/Preco Medio Comercializado;MILHO/EM GRÃOS/RR/Preco Medio Comercializado;MILHO/EM GRÃOS/RS/Preco Medio Comercializado;MILHO/EM GRÃOS/SC/Preco Medio Comercializado;MILHO/EM GRÃOS/SE/Preco Medio Comercializado;MILHO/EM GRÃOS/SP/Preco Medio Comercializado;MILHO/EM GRÃOS/TO/Preco Medio Comercializado
"JAN-2020";;43.0;48.71;;45.87;54.01;42.67;43.1;49.55;37.89;35.12;44.85;39.75;;49.42;40.28;57.67;45.5;46.8;41.31;41.5;51.63;45.33;46.25
"FEV-2020";;55.5;44.63;;44.29;60.0;43.91;44.07;48.02;38.82;37.85;46.78;;;47.17;39.87;;50.15;46.8;43.92;42.68;50.88;45.93;45.72
"MAR-2020";;66.0;44.64;;46.26;58.53;46.09;44.29;51.14;40.43;39.36;47.94;;;45.13;42.76;;50.4;58.05;44.88;44.17;47.96;49.01;45.25
"ABR-2020";;66.0;43.84;;45.82;58.09;42.76;44.13;45.85;39.16;39.72;49.07;;;43.65;40.42;;50.68;;46.11;42.88;51.11;50.52;44.96
"MAI-2020";;42.99;38.63;;40.5;55.48;37.7;39.57;42.32;38.1;37.74;49.59;;;39.46;40.13;;49.25;;45.02;42.2;51.41;44.59;38.74
"JUN-2020";;42.99;36.95;;38.47;58.22;35.73;39.48;40.91;36.61;30.89;43.27;46.06;;39.06;38.84;;44.04;;43.03;41.85;;44.63;35.75
"JUL-2020";;47.0;38.78;50.63;37.34;59.11;38.52;39.48;43.83;38.2;33.17;43.75;62.46;;43.11;41.68;;41.66;;44.38;43.84;;44.35;36.5
"AGO-2020";;47.0;45.26;52.42;42.12;60.57;45.07;40.36;50.72;43.69;41.16;49.7;48.56;46.0;48.95;45.86;57.56;45.43;;48.84;48.67;;49.91;43.23
"SET-2020";60.0;51.17;49.98;52.95;49.46;61.61;49.4;41.06;55.7;48.83;46.35;52.62;53.38;;51.81;50.63;64.99;51.55;66.0;54.74;53.69;52.0;54.61;49.0
"OUT-2020";60.0;59.27;50.44;54.29;53.38;68.69;59.26;47.47;65.04;59.47;57.19;57.04;57.18;;52.68;60.48;69.89;58.91;;64.88;62.62;54.95;63.85;52.01
"NOV-2020";62.5;64.5;60.27;;69.29;76.4;69.37;63.25;73.14;70.78;64.69;63.11;56.75;;61.55;67.5;71.17;70.85;60.0;77.33;74.81;64.26;73.46;58.47
"DEZ-2020";65.0;80.97;62.15;;66.03;78.33;62.34;73.57;68.35;63.7;59.5;67.78;;;67.41;64.65;78.67;72.16;;75.03;69.37;61.96;66.97;58.32
"JAN-2021";;81.6;66.88;;70.27;78.95;70.84;71.38;76.93;72.64;59.39;70.43;;;69.36;73.31;80.09;72.7;;77.72;75.11;67.5;77.07;60.67
